country,label,currency
Australija,AUD,australski_dolar
Kanada,CAD,kanadski_dolar
Češka,CZK,češka_kruna
Danska,DKK,danska_kruna
Mađarska,HUF,mađarska_forinta
Japan,JPY,japanski_jen
Norveška,NOK,norveška_kruna
Švedska,SEK,švedska_kruna
Švicarska,CHF,švicarski_franak
Velika_Britanija,GBP,britanksa_funta
SAD,USD,američki_dolar
Poljska,PLN,poljski_zloti
Rumunjska,RON,rumunjski_leu
Bugarska,BGN,bugarski_lev
Albanija,ALL,albanski_lek
Srbija,RSD,srpski_dinar
Hrvatska,HRK,hrvatska_kuna
Turska,TRY,turska_lira
Makedonija,MKD,makedonski_denar
Estonija,EEK,estonska_kruna
Rusija,RUR,ruski_rubalj
