country,male,female
Afganistan,Afganistanac,Afganistanka
Afrika,Afrikanac,Afrikanka
Albanija,Albanac,Albanka
Amerika,Amerikanac,Amerikanka
Andora,Andorac,Andorka
Argentina,Argentinac,Argentinka
Australija,Australac,Australka
Austrija,Austrijanac,Austrijanka
Azija,Azijac,Azijka
Bahami,Bahamac,Bahamkinja
Belgija,Belgijanac,Belgijanka
Bjelorusija,Bjelorus,Bjeloruskinja
Brazil,Brazilac,Brazilka
Bugarska,Bugarin,Bugarka
Cipar,Cipranin,Cipranka
Češka,Čeh,Čehinja
Čile,Čileanac,Čileanka
Danska,Danac,Dankinja
Ekvador,Ekvadorac,Ekvadorka
Engleska,Englez,Engleskinja
Estonija,Estonac,Estonka
Europa,Europljanin,Europljanka
Fidži,Fidžijanac,Fidžijanka
Filipini,Filipinac,Filipinka
Finska,Finac,Finkinja
Francuska,Francuz,Francuskinja
Grčka,Grk,Grkinja
Grenland,Grenlanđanin,Grenlanđanka
Gvajana,Gvajanac,Gvajanka
Haiti,Haićanin,Haićanka
Hrvatska,Hrvat,Hrvatica
Indija,Indijac,Indijka
Indonezija,Indonežanin,Indonežanka
Irska,Irac,Irkinja
Island,Islanđanin,Islanđanka
Italija,Talijan,Talijanka
Izrael,Izraelac,Izraelka
Jamajka,Jamajčanin,Jamjčanka
Jamajka,Jamajčanin,Jamajčanka
Japan,Japanac,Japanka
Kanada,Kanađanin,Kanađanka
Kina,Kinez,Kineskinja
Kolumbija,Kolumbijac,Kolumbijka
Kosovo,Kosovac,Kosovka
Kostarika,Kostarikanac,Kostarikanka
Kuba,Kubanac,Kubanka
Latvija,Latvijac,Latvijka
Libanon,Libanonac,Libanonka
Libija,Libijac,Libijka
Luksemburg,Luksemburžanin,Luksemburžanka
Mađarska,Mađar,Mađarica
Makedonija,Makedonac,Makedonka
Malta,Maltežanin,Maltežanka
Maroko,Marokanac,Marokanka
Meksiko,Meksikanac,Meksikanka
Moldavija,Moldavac,Moldavka
Mozambik,Mozambičanin,Mozambičanka
Nepal,Nepalac,Nepalka
Nizozemska,Nizozemac,Nizozemka
Norveška,Norvežanin,Norvežanka
Njemačka,Nijemac,Njemica
Panama,Panamac,Panamka
Paragvaj,Paragvajac,Paragvajka
Peru,Peruanac,Peruanka
Poljska,Poljak,Poljakinja
Portugal,Portugalac,Portugalka
Ruanda,Ruanđanin,Ruanđanka
Rumunjska,Rumunj,Rumunjka
Rusija,Rus,Ruskinja
Senegal,Senegalac,Senegalka
Slovačka,Slovak,Slovakinja
Slovenija,Slovenac,Slovenka
Srbija,Srbin,Srpkinja
Španjolska,Španjolac,Španjolka
Švedska,Šveđanin,Šveđanka
Švicarska,Švicarac,Švicarka
Tajvan,Tajvanac,Tajvanka
Togo,Togoanac,Togoanka
Turska,Turčin,Turkinja
Uganda,Uganđanin,Uganđanka
Ukraina,Ukrajinac,Ukrajinka
Urugvaj,Urugvajac,Urugvajka
Uzbekistan,Uzbekistanac,Uzbekistanka
Velika_Britanija,Britanac,Britanka
Zambija,Zambijac,Zambijka
