country,male,female
Afganistan,Afganistanac,Afganistanka
Afrika,Afrikanac,Afrikanka
Albanija,Albanac,Albanka
Amerika,Amerikanac,Amerikanka
Andora,Andorac,Andorka
Argentina,Argentinac,Argentinka
Australija,Australac,Australka
Austrija,Austrijanac,Austrijanka
Azija,Azijac,Azijka
Bahami,Bahamac,Bahamkinja
Belgija,Belgijanac,Belgijanka
Bjelorusija,Bjelorus,Bjeloruskinja
Brazil,Brazilac,Brazilka
Bugarska,Bugarin,Bugarka
Cipar,Cipranin,Cipranka
Èeška,Èeh,Èehinja
Èile,Èileanac,Èileanka
Danska,Danac,Dankinja
Ekvador,Ekvadorac,Ekvadorka
Engleska,Englez,Engleskinja
Estonija,Estonac,Estonka
Europa,Europljanin,Europljanka
Fidži,Fidžijanac,Fidžijanka
Filipini,Filipinac,Filipinka
Finska,Finac,Finkinja
Francuska,Francuz,Francuskinja
Grèka,Grk,Grkinja
Grenland,Grenlanðanin,Grenlanðanka
Gvajana,Gvajanac,Gvajanka
Haiti,Haiæanin,Haiæanka
Hrvatska,Hrvat,Hrvatica
Indija,Indijac,Indijka
Indonezija,Indonežanin,Indonežanka
Irska,Irac,Irkinja
Island,Islanðanin,Islanðanka
Italija,Talijan,Talijanka
Izrael,Izraelac,Izraelka
Jamajka,Jamajèanin,Jamjèanka
Jamajka,Jamajèanin,Jamajèanka
Japan,Japanac,Japanka
Kanada,Kanaðanin,Kanaðanka
Kina,Kinez,Kineskinja
Kolumbija,Kolumbijac,Kolumbijka
Kosovo,Kosovac,Kosovka
Kostarika,Kostarikanac,Kostarikanka
Kuba,Kubanac,Kubanka
Latvija,Latvijac,Latvijka
Libanon,Libanonac,Libanonka
Libija,Libijac,Libijka
Luksemburg,Luksemburžanin,Luksemburžanka
Maðarska,Maðar,Maðarica
Makedonija,Makedonac,Makedonka
Malta,Maltežanin,Maltežanka
Maroko,Marokanac,Marokanka
Meksiko,Meksikanac,Meksikanka
Moldavija,Moldavac,Moldavka
Mozambik,Mozambièanin,Mozambièanka
Nepal,Nepalac,Nepalka
Nizozemska,Nizozemac,Nizozemka
Norveška,Norvežanin,Norvežanka
Njemaèka,Nijemac,Njemica
Panama,Panamac,Panamka
Paragvaj,Paragvajac,Paragvajka
Peru,Peruanac,Peruanka
Poljska,Poljak,Poljakinja
Portugal,Portugalac,Portugalka
Ruanda,Ruanðanin,Ruanðanka
Rumunjska,Rumunj,Rumunjka
Rusija,Rus,Ruskinja
Senegal,Senegalac,Senegalka
Slovaèka,Slovak,Slovakinja
Slovenija,Slovenac,Slovenka
Srbija,Srbin,Srpkinja
Španjolska,Španjolac,Španjolka
Švedska,Šveðanin,Šveðanka
Švicarska,Švicarac,Švicarka
Tajvan,Tajvanac,Tajvanka
Togo,Togoanac,Togoanka
Turska,Turèin,Turkinja
Uganda,Uganðanin,Uganðanka
Ukraina,Ukrajinac,Ukrajinka
Urugvaj,Urugvajac,Urugvajka
Uzbekistan,Uzbekistanac,Uzbekistanka
Velika_Britanija,Britanac,Britanka
Zambija,Zambijac,Zambijka
