infinitive,past_male,past_female
biti,bio,bila
htjeti,htio,htjela
moći,mogao,mogla
znati,znao,znala
nositi,nosio,nosila
tražiti,tražio,tražila
pitati,pitao,pitala
reći,rekao,rekla
vidjeti,vidio,vidjela
slušati,slušao,slušala
raditi,radio,radila
spavati,spavao,spavala
stajati,stajao,stajala
trčati,trčao,trčala
ležati,ležao,ležala
jesti,jeo,jela
piti,pio,pila
padati,padao,padala
kupovati,kupio,kupila
voziti,vouio,vozila
proizvoditi,proizvodio,proizvodila
rezati,rezao,rezala
piliti,pilio,pilila
bušiti,bušio,bušila
šivati,šivao,šivala
zidati,zidao,zidala
programirati,programirao,programirala
platiti,platio,platila
brati,brao,brala
sijati,sijao,sijala
uzgajati,uzgajao,uzgajala
odgajati,odgajao,odgajala
govoriti,govorio,govorila
učiti,učio,učila
lagati,lagao,lagala
kuhati,kugao,kuhala
moliti,molio,molila
vikati,vikao,vikala
saditi,sadio,sadila
loviti,lovio,lovila
zaraditi,zaradio,zaradila
skakati,skakao,skakala
crtati,crtao,crtala
dizajnirati,dizajnirao,dizajnirala
planirati,planirao,planirala
mjeriti,mjerio,mjerila
oblačiti,oblačio,oblačila
zalijevati,zalijavao,zalijevala
tugovati,tugovao,tugovala
voljeti,volio,voljela
maltretirati,maltretirao,maltretirala
prati,prao,prala
pratiti,pratio,pratila
čekati,čekao,čekala
podnositi,podnosio,podnosila
tratiti,tratio,tratila
opisati,opisao,opisala
položiti,položio,položila
zabaviti,zabavio,zabavila
objasniti,objasnio,objasnila
krasti,krao,krala
darivati,darivao,darivala
računati,računao,računala
potezati,potezao,potezala
kupati,kupao,kupala
miješati,miješao,miješala
istražiti,istražio,istražila
donijeti,donio,donijela
skrivati,skrivao,skrivala
pisati,pisao,pisala
bojati,bojao,bojala
polirati,polirao,polirala
prodati,prodao,prodala
uništiti,uništio,uništila
ukinuti,ukinuo,ukinula
pjevati,pjevao,pjevala
plesati,plesao,plesala
igrati,igrao,igrala
zvati,zvao,zvala
ljubiti,ljubio,ljubila
učiniti,učinio,učinila
doći,došao,došla
pobjediti,pobjedio,pobjedila
